split,method,N,seeds,oracle_exact_mean,oracle_exact_std,reranked_exact_mean,reranked_exact_std,selected_valid_mean,selected_valid_std,selected_number_f1_mean,selected_number_f1_std,reward_hack_mean,reward_hack_std,tokens_mean,tokens_std,wall_clock_s_mean,wall_clock_s_std,cost_per_reranked_exact_mean,cost_per_reranked_exact_std
test_in_dist,stable,1,3,0.04,0.02,0.04,0.02,0.20666666666666667,0.023094010767585035,0.615798941798942,0.02898680568531275,0.7466666666666667,0.05773502691896256,4096.0,526.5178059667119,56.49215499560038,7.160027729622663,30.555555555555557,17.34721666221777
test_in_dist,stable,4,3,0.08666666666666667,0.030550504633038933,0.08666666666666667,0.030550504633038933,0.5733333333333334,0.046188021535170036,0.9267354497354495,0.009905478369148825,0.4266666666666667,0.046188021535170036,15551.0,1664.7765615841665,225.96861998240152,28.640110918490652,50.0,16.666666666666668
test_in_dist,stable,8,3,0.13333333333333333,0.04163331998932265,0.13333333333333333,0.04163331998932265,0.7333333333333334,0.046188021535170036,0.9742751322751321,0.0005845782705763975,0.26666666666666666,0.04618802153517007,29963.333333333332,5152.778312069454,451.93723996480304,57.280221836981305,63.7037037037037,17.962008374788358
test_in_dist,static,1,3,0.02666666666666667,0.011547005383792516,0.02666666666666667,0.011547005383792516,0.18666666666666668,0.06429100507328636,0.5423544973544975,0.13328011535574225,0.7000000000000001,0.052915026221291794,4902.0,378.374153451316,116.1368977924188,61.57238839221583,41.666666666666664,14.433756729740644
test_in_dist,static,4,3,0.10666666666666667,0.011547005383792509,0.10666666666666667,0.011547005383792509,0.48,0.04000000000000001,0.8733328523328522,0.06611167930656367,0.47333333333333333,0.04163331998932266,20720.0,676.6468798420635,464.5475911696752,246.2895535688633,37.77777777777778,3.8490017945975037
test_in_dist,static,8,3,0.12000000000000001,0.020000000000000004,0.12000000000000001,0.020000000000000004,0.6666666666666666,0.07023769168568493,0.9501688311688311,0.029869816625638028,0.32,0.05291502622129181,43070.666666666664,1252.6972233278611,929.0951823393503,492.5791071377266,67.93650793650794,11.481359568269921
validation,stable,1,3,0.02,0.02,0.02,0.02,0.20666666666666667,0.10066445913694332,0.6199860509860511,0.12287292914422236,0.72,0.052915026221291815,3494.6666666666665,1270.679477025317,61.3605632185936,17.1690853410431,37.5,17.67766952966369
validation,stable,4,3,0.10666666666666667,0.04163331998932266,0.10666666666666667,0.04163331998932266,0.5266666666666667,0.04163331998932269,0.9228489658489657,0.019914484691053957,0.47333333333333333,0.04163331998932266,15755.0,4222.816003569183,245.4422528743744,68.6763413641724,42.85714285714286,20.75666163590797
validation,stable,8,3,0.13333333333333333,0.011547005383792526,0.13333333333333333,0.011547005383792526,0.68,0.019999999999999962,0.9583833573833572,0.011871859059609188,0.31333333333333335,0.023094010767585053,31706.666666666668,8789.436292125527,490.8845057487488,137.3526827283448,60.317460317460316,5.4985739922821555
validation,static,1,3,0.006666666666666667,0.011547005383792516,0.006666666666666667,0.011547005383792516,0.18666666666666665,0.09237604307034011,0.5331640211640212,0.16296508562143996,0.6866666666666666,0.08082903768654762,5669.0,1124.9253308553416,131.8712598780791,50.58442836073124,50.0,0.0
validation,static,4,3,0.02666666666666667,0.011547005383792516,0.02666666666666667,0.011547005383792516,0.41333333333333333,0.0832666399786453,0.8270048100048099,0.0951503160602385,0.49333333333333335,0.023094010767585053,23095.666666666668,1488.268904913804,527.4850395123163,202.33771344292495,166.66666666666666,57.735026918962575
validation,static,8,3,0.06666666666666667,0.050332229568471665,0.06666666666666667,0.050332229568471665,0.54,0.0916515138991168,0.9279759499759498,0.022545706142644575,0.45333333333333337,0.08082903768654763,44882.0,2097.6739498787697,1054.9700790246327,404.6754268858499,200.0,176.38342073763937
